,material_id,formula_pretty,formation_energy,third_element
692,mp-522,CuAu,-0.048137495,Au
693,mp-2078,TiCu,-0.135805391666666,Ti
694,mp-1183752,Co3Cu,0.11858711625,Co
695,mp-1184018,CuAu3,-0.012307605,Au
696,mp-1183872,Ce3Cu,0.100618386249999,Ce
697,mp-1184185,CuPb3,0.2609767325,Pb
698,mp-1184054,CuNi3,0.0319354175,Ni
699,mp-1184119,CuPd3,-0.066066832499999,Pd
700,mp-1184132,CuSn3,0.23410422875,Sn
701,mp-1184121,CuRu3,0.274872782500001,Ru
702,mp-1184311,Fe3Cu,0.132274887500001,Fe
703,mp-1184183,CuGe3,0.32294791875,Ge
704,mp-1186036,Na3Cu,0.223885345086206,Na
705,mp-1186272,Nd3Cu,0.152919031875,Nd
706,mp-1187227,Ta3Cu,0.1649428175,Ta
707,mp-1187546,Tl3Cu,0.28996938,Tl
708,mp-1187753,V3Cu,0.147733957499999,V
709,mp-193,Zr2Cu,-0.13412213,Zr
710,mp-1978391,CuTe,-0.165945898333333,Te
711,mp-30581,Hf2Cu,-0.159939316666665,Hf
712,mp-742,Ti2Cu,-0.117663718888889,Ti
713,mp-975642,Pr3Cu,0.15724324625,Pr
714,mp-975882,Li3Cu,0.0103718275,Li
715,mp-1072518,In2Cu,0.136132275,In
716,mp-1052023,Mg2Cu,-0.102933371666666,Mg
717,mp-1227357,Be3Cu,-0.104867697916667,Be
718,mp-1207193,CuTe2,-0.282120174444443,Te
719,mp-1221725,Mn4Cu,0.135450011655171,Mn
720,mp-1225704,CuRh,0.07331566,Rh
721,mp-1225742,CuAu4,0.012961133999999,Au
722,mp-1225677,CuAu,0.024034949999999,Au
723,mp-1225687,CuNi,0.018480729999999,Ni
724,mp-1225701,CuPd,-0.092139845,Pd
725,mp-644311,CuPt,-0.159299749999999,Pt
726,mp-1016285,Mg7Cu,0.02700112625,Mg
727,mp-1023610,Mg15Cu,0.02011401625,Mg
728,mp-1184069,CuNi,0.029275604999999,Ni
729,mp-976292,NaCu,0.389966921724138,Na
730,mp-1185803,Mg5Cu,0.019476783333333,Mg
731,mp-1018053,InCu,0.06061678,In
732,mp-1018730,In2Cu,0.183828893333333,In
733,mp-1025402,SrCu,-0.105598024583333,Sr
734,mp-1025440,CuGe3,0.30572333125,Ge
735,mp-10598,CuSn,-0.0233113075,Sn
736,mp-1184004,CuAu3,-0.008191705,Au
737,mp-1184147,CuGe3,0.3281736575,Ge
738,mp-1184173,CuSn3,0.225944682499999,Sn
739,mp-30428,BaCu,-0.073521855,Ba
740,mp-569792,CuBi,0.1101925375,Bi
741,mp-972042,Zn3Cu,-0.080879762499999,Zn
742,mp-974023,In3Cu,0.176433854999999,In
743,mp-984351,CuAg3,0.085707807499999,Ag
744,mp-1103235,CuTe2,-0.281230152777777,Te
745,mp-1006330,Ce3Cu,0.14706295625,Ce
746,mp-1018029,CuPd,-0.12332372,Pd
747,mp-11365,Ti3Cu,0.0207964575,Ti
748,mp-11364,TiCu,-0.053135791666666,Ti
749,mp-1169,ScCu,-0.2807952775,Sc
750,mp-1184128,CuPb3,0.254686595,Pb
751,mp-1184480,In3Cu,0.1903226225,In
752,mp-1184878,K3Cu,0.338926752749999,K
753,mp-1187104,Sr3Cu,0.2456614825,Sr
754,mp-1187519,Tl3Cu,0.2863943025,Tl
755,mp-12586,SmCu,-0.179424707499999,Sm
756,mp-1837,TbCu,-0.239105545,Tb
757,mp-1955,ErCu,-0.273225609999999,Er
758,mp-1971,HoCu,-0.266779905,Ho
759,mp-2103,CuAu3,-0.0176342475,Au
760,mp-2210,ZrCu,-0.10770546,Zr
761,mp-2323,BeCu,-0.1002443075,Be
762,mp-2334,DyCu,-0.24823224,Dy
763,mp-2672345,MgCu,-0.0933438975,Mg
764,mp-580287,Zr3Cu,0.032930704999999,Zr
765,mp-712,YCu,-0.244927178333333,Y
766,mp-639675,EuCu,-0.079987575,Eu
767,mp-984711,Cr3Cu,0.2938468025,Cr
768,mp-984518,Ga3Cu,0.059151421875,Ga
769,mp-985,TmCu,-0.293495948333332,Tm
770,mp-987,ZnCu,-0.090755029999999,Zn
771,mp-1183404,Be3Cu,-0.042210671249999,Be
772,mp-1184260,Fe3Cu,0.180963685,Fe
773,mp-1186214,Nb3Cu,0.171096255,Nb
774,mp-12608,CuPt7,-0.043678072499999,Pt
775,mp-979283,V3Cu,0.15853136,V
776,mp-1192264,Ti2Cu,-0.025063773055555,Ti
777,mp-1210855,Mg4Cu,0.341209278999999,Mg
778,mp-2031,Be2Cu,-0.1403742,Be
779,mp-583800,Zr2Cu,-0.06481384875,Zr
780,mp-1016224,Mg3Cu,0.039880389999999,Mg
781,mp-978279,Mg3Cu,-0.0071817775,Mg
782,mp-972916,MgCu,-0.0893341775,Mg
783,mp-1181516,CuTe,0.533576026666666,Te
784,mp-1238498,CuTe,-0.164560408333333,Te
785,mp-20826,CuTe,-0.276979040833333,Te
786,mp-623012,CuTe,-0.175755268333333,Te
787,mp-1078920,LaCu,-0.1684201275,La
788,mp-1079091,PrCu,-0.151760862499999,Pr
789,mp-1087547,EuCu,-0.1516924362499999,Eu
790,mp-1080443,YCu,-0.258562188333333,Y
791,mp-1102243,Eu2Cu,-0.110337945833332,Eu
792,mp-12614,Ca2Cu,-0.111275044999999,Ca
793,mp-13392,NdCu,-0.182830984999999,Nd
794,mp-636198,CeCu,-0.031143071249999,Ce
795,mp-585949,CaCu,-0.143697949999999,Ca
796,mp-980769,SmCu,-0.2080711037499999,Sm
797,mp-1215483,Zn3Cu,0.0010511375,Zn
798,mp-1213433,CuPt3,2.4126323825,Pt
799,mp-1215462,ZnCu,-0.052447234999999,Zn
800,mp-1225656,CuPd,-0.035561989999999,Pd
801,mp-1225131,Fe3Cu,0.0704012325,Fe
802,mp-1224945,FeCu,0.171830349999999,Fe
803,mp-1225694,CuNi3,0.09215838,Ni
804,mp-1225695,CuNi,0.064862519999999,Ni
805,mp-2481,Mg2Cu,-0.105952447499999,Mg
806,mp-2479851,Mg3Cu,-0.011553945,Mg
807,mp-865014,Mg2Cu,-0.101323169999999,Mg
808,mp-582681,CuAu,-0.0390334805,Au
809,mp-1080022,ZrCu,-0.1274346912499999,Zr
810,mp-1825,Cu2Sb,-0.040752015,Sb
811,mp-1018149,ScCu2,-0.259519848333333,Sc
